facility_id,predicted_satisfaction,actual_satisfaction,rank,priority,feature,shap_impact,recommendation,estimated_impact
,72.33,73.5,1,LOW,pct_uninsured,0.0103,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,71.68,70.5,1,HIGH,MORT_30_AMI,0.0987,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,66.03,65.75,1,HIGH,hospital_overall_rating,-2.9935,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,66.03,65.75,2,HIGH,MORT_30_AMI,0.1577,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.42,71.75,1,HIGH,hospital_overall_rating,-3.4846,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.42,71.75,2,HIGH,avg_er_wait_minutes,0.493,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,72.42,71.75,3,HIGH,OP_18b,0.2546,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,71.41,70.25,1,HIGH,avg_er_wait_minutes,0.1006,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,71.41,70.25,2,HIGH,hospital_overall_rating,-0.0135,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,69.16,68.12,1,HIGH,hospital_overall_rating,-2.6219,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,68.39,67.62,1,HIGH,hospital_overall_rating,-2.4816,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,68.39,67.62,2,HIGH,MORT_30_AMI,0.1553,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,68.39,67.62,3,LOW,pct_uninsured,0.0051,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,76.64,85.0,1,HIGH,avg_er_wait_minutes,0.7854,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,76.64,85.0,2,HIGH,OP_18b,0.429,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,76.64,85.0,3,HIGH,MORT_30_AMI,0.1879,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,69.52,76.5,1,HIGH,hospital_overall_rating,-2.4925,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,69.52,76.5,2,HIGH,MORT_30_AMI,0.1352,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,74.93,79.5,1,MEDIUM,bed_count,0.1988,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,74.93,79.5,2,HIGH,MORT_30_AMI,0.1509,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,74.93,79.5,3,LOW,deprivation_index,0.0335,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,78.47,79.5,1,MEDIUM,bed_count,1.4873,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,78.47,79.5,2,HIGH,avg_er_wait_minutes,0.8316,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,78.47,79.5,3,HIGH,OP_18b,0.3911,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,69.14,69.75,1,HIGH,hospital_overall_rating,-2.3815,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,68.23,70.62,1,HIGH,hospital_overall_rating,-2.2682,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.2,74.25,1,HIGH,hospital_overall_rating,-0.0982,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,71.6,72.62,1,HIGH,hospital_overall_rating,-2.1663,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,71.6,72.62,2,HIGH,avg_er_wait_minutes,0.0054,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,77.21,76.5,1,MEDIUM,bed_count,0.8715,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,77.21,76.5,2,HIGH,avg_er_wait_minutes,0.5602,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,77.21,76.5,3,HIGH,OP_18b,0.3869,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,70.89,71.38,1,HIGH,hospital_overall_rating,-2.4264,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,70.89,71.38,2,HIGH,avg_er_wait_minutes,0.1801,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,70.77,67.5,1,HIGH,hospital_overall_rating,-2.6759,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,70.77,67.5,2,HIGH,MORT_30_AMI,0.1575,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,70.77,67.5,3,HIGH,avg_er_wait_minutes,0.0383,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,72.13,73.12,1,HIGH,hospital_overall_rating,-0.175,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.13,73.12,2,HIGH,MORT_30_AMI,0.0835,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,66.19,64.5,1,HIGH,hospital_overall_rating,-2.6198,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,80.61,84.5,1,MEDIUM,bed_count,1.7653,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,80.61,84.5,2,HIGH,avg_er_wait_minutes,1.1206,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,80.61,84.5,3,HIGH,OP_18b,0.4955,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,78.73,82.75,1,MEDIUM,bed_count,1.7434,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,78.73,82.75,2,HIGH,avg_er_wait_minutes,0.7594,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,78.73,82.75,3,HIGH,OP_18b,0.3073,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,70.59,71.12,1,HIGH,hospital_overall_rating,-0.0707,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,70.59,71.12,2,LOW,pct_uninsured,0.0081,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,73.33,71.75,1,HIGH,MORT_30_AMI,0.1343,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.33,71.75,2,HIGH,OP_18b,0.0863,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,76.93,72.88,1,MEDIUM,bed_count,2.744,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,76.93,72.88,2,HIGH,MORT_30_AMI,0.1529,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,76.93,72.88,3,HIGH,OP_18b,0.0363,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,77.42,79.62,1,MEDIUM,bed_count,1.5735,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,77.42,79.62,2,HIGH,avg_er_wait_minutes,0.4585,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,77.42,79.62,3,HIGH,OP_18b,0.3456,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,67.9,70.88,1,HIGH,hospital_overall_rating,-2.5862,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,67.9,70.88,2,HIGH,MORT_30_AMI,0.0078,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,70.07,68.25,1,HIGH,hospital_overall_rating,-0.1848,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,70.07,68.25,2,HIGH,MORT_30_AMI,0.0935,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,70.07,68.25,3,LOW,pct_uninsured,0.0102,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,75.54,74.12,1,MEDIUM,bed_count,1.5819,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,75.54,74.12,2,HIGH,avg_er_wait_minutes,0.5419,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,75.54,74.12,3,HIGH,OP_18b,0.3557,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,71.74,77.12,1,HIGH,MORT_30_AMI,0.1137,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,75.4,74.38,1,HIGH,avg_er_wait_minutes,0.5829,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,75.4,74.38,2,HIGH,OP_18b,0.2991,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,75.4,74.38,3,MEDIUM,bed_count,0.2111,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,73.16,72.25,1,LOW,deprivation_index,0.0113,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,76.54,73.88,1,MEDIUM,bed_count,1.3101,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,76.54,73.88,2,HIGH,avg_er_wait_minutes,0.4433,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,76.54,73.88,3,HIGH,OP_18b,0.2071,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,68.5,64.12,1,HIGH,hospital_overall_rating,-3.8953,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,68.5,64.12,2,HIGH,avg_er_wait_minutes,0.0616,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,68.5,64.12,3,HIGH,MORT_30_AMI,0.0273,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,74.57,76.62,1,HIGH,hospital_overall_rating,-2.1281,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,74.57,76.62,2,MEDIUM,bed_count,0.7442,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,74.57,76.62,3,HIGH,MORT_30_AMI,0.1841,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,71.95,70.5,1,HIGH,avg_er_wait_minutes,0.2396,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,71.95,70.5,2,HIGH,OP_18b,0.0937,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,71.85,71.75,1,HIGH,avg_er_wait_minutes,0.0522,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,74.12,71.25,1,MEDIUM,bed_count,0.4688,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,74.12,71.25,2,HIGH,OP_18b,0.1596,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,74.12,71.25,3,HIGH,MORT_30_AMI,0.1085,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,68.84,69.25,1,HIGH,hospital_overall_rating,-2.4232,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,69.08,63.62,1,HIGH,MORT_30_AMI,0.1275,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,69.08,63.62,2,HIGH,hospital_overall_rating,-0.0414,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,67.74,65.88,1,HIGH,hospital_overall_rating,-0.3585,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,75.33,72.88,1,MEDIUM,bed_count,1.2223,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,75.33,72.88,2,HIGH,MORT_30_AMI,0.1435,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,75.33,72.88,3,LOW,deprivation_index,0.0735,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,68.57,67.25,1,HIGH,hospital_overall_rating,-2.2779,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,76.76,83.75,1,MEDIUM,bed_count,1.7508,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
